madde_no,madde_baslik,token_count,unique_token_count,sentence_count
443,Vesayet a ltındaki kişinin malvarlığı içinde ticar,29,28,2
444,Taşınmazların satışı,126,100,6
446,Küçüklerin koruma amacıyla bir kuruma yerleştirilmesine vasinin başvurusu üzerine vesayet makamı veya gecikmesinde sakınca bulunan h,57,52,4
447,Vasi,43,41,3
448,Vesayet dairelerinin yetkilerine ilişkin hükümler saklı kalmak kaydıyla vasi,21,20,2
449,Vesaye t altındaki kişi adına kefil olmak,19,17,2
450,Vesayet altındaki kişi görüşlerini oluştur ma ve açıklama yeteneğine sahipse,43,38,3
451,Ayırt etme gücüne sahip olan vesa yet al tındaki kişi,51,45,3
452,Vasinin onamadığı işlemlerde taraflar dan her biri verdiğini geri isteyebili r,62,57,3
453,Vesayet altındaki kişiye vesayet makamı tarafından bir meslek veya sanatın yürütülmesi iç in izin verilmiş ise,45,43,2
454,Vasi,59,52,4
455,Vesayet altındaki kişi,22,22,2
456,Vasi,29,26,4
457,Vasi,49,48,3
458,Bir kimseye kayyım atanması onun fiil ehliyetini etkilemez,30,29,4
459,Belli bir iş için göre vlendi rilmiş olan kayyı m,17,17,2
460,Kayyım bir malvarlığının yönetimi ve gözetimi ile görevlendirilmiş ise,52,48,3
461,Ayırt etme gücüne sahip olan vesayet altındaki kişi ve her ilgili,41,35,3
462,Aşağıdaki h,148,106,2
463,Aşağıdaki h,86,66,2
464,Vesayet makamı,41,34,3
465,Kanunen gerektiği h,32,29,2
466,Vesayet organları ve v esayet işleriyle görevl endirilmiş olan diğer kişiler,25,24,2
467,Vasi,25,25,3
468,Devlet,58,53,4
469,Devletin vesayet dairelerinde görevli kişilere karşı rücu davasına bakmay a,50,41,3
470,Küçük üzerindeki vesayet,31,30,3
471,,89,72,3
472,Diğer kısıtlılar üzerindeki vesayet,37,34,4
473,Kısıtlama il,24,22,3
474,Akıl hastalığı veya akıl zayıflığı yüzünden kısıtlanmış olan kişi üzerindeki vesayeti n kald ırılmasına,43,39,2
475,Savurganlığı,42,38,2
476,Kendi isteğiyle kısıtlanmı ş olan kişi üzerindeki vesa yetin kaldırılması,26,26,2
477,Temsil kayyımlığı,40,34,4
478,Atamanın il,29,27,2
479,Vasilik görevi,20,18,2
480,Vasilik görevi,18,18,2
481,Vasi,39,33,3
482,Görevi sona eren vasi,19,19,2
483,Vasi,52,46,3
